2025-06-16 13:51:41.815 | SUCCESS  | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:136 - Proceso de remplazamiento en Segmento_Agrup exitoso
2025-06-16 13:51:41.827 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Reemplazar_columna_en_funcion_de_otra: 0.043344974517822266 segundos
2025-06-16 13:51:42.078 | INFO     | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:130 - Inicio de remplazamiento de datos en Formato
2025-06-16 13:51:42.125 | SUCCESS  | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:136 - Proceso de remplazamiento en Formato exitoso
2025-06-16 13:51:42.125 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Reemplazar_columna_en_funcion_de_otra: 0.046776533126831055 segundos
2025-06-16 13:51:42.559 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Reemplazos_multiples_columnas: 0.2515401840209961 segundos
2025-06-16 13:51:42.604 | INFO     | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:130 - Inicio de remplazamiento de datos en Subcanal
2025-06-16 13:51:42.704 | SUCCESS  | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:136 - Proceso de remplazamiento en Subcanal exitoso
2025-06-16 13:51:42.718 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Reemplazar_columna_en_funcion_de_otra: 0.11410903930664062 segundos
2025-06-16 13:51:42.924 | INFO     | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:130 - Inicio de remplazamiento de datos en Segmento_Agrup
2025-06-16 13:51:43.051 | SUCCESS  | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:136 - Proceso de remplazamiento en Segmento_Agrup exitoso
2025-06-16 13:51:43.051 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Reemplazar_columna_en_funcion_de_otra: 0.12661004066467285 segundos
2025-06-16 13:51:43.745 | INFO     | Trasformation_functions:modificaciones_elegidas_dataframe:341 - Inicio de la operacion fillna
2025-06-16 13:51:44.233 | SUCCESS  | Trasformation_functions:modificaciones_elegidas_dataframe:350 - operacion fillna completada con exito
2025-06-16 13:51:44.299 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de modificaciones_elegidas_dataframe: 1.000535011291504 segundos
2025-06-16 13:51:44.346 | INFO     | Trasformation_functions:modificaciones_elegidas_dataframe:341 - Inicio de la operacion fillna
2025-06-16 13:51:44.423 | SUCCESS  | Trasformation_functions:modificaciones_elegidas_dataframe:350 - operacion fillna completada con exito
2025-06-16 13:51:44.435 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de modificaciones_elegidas_dataframe: 0.13550615310668945 segundos
2025-06-16 13:51:44.562 | INFO     | Trasformation_functions:modificaciones_elegidas_dataframe:341 - Inicio de la operacion fillna
2025-06-16 13:51:44.680 | SUCCESS  | Trasformation_functions:modificaciones_elegidas_dataframe:350 - operacion fillna completada con exito
